BehaviorSpace results (NetLogo 6.0.3),,,,,,,,,,,,,,
Evacuation.nlogo,,,,,,,,,,,,,,
hallway-size,,,,,,,,,,,,,,
06/08/2018 02:49:04:421 -0500,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,
[run number],building-type,number-of-doors,door-proximity,show-checkpoints,number-of-people,hallway-size,number-of-rooms,[step],ticks,average-time-to-evacuate,,Row Labels,Average of ticks,Average of average-time-to-evacuate
130,build my own!,1,1,FALSE,200,13,10,356,356,177.735,,,,
129,build my own!,1,1,FALSE,200,13,10,359,359,181.215,,,,
131,build my own!,1,1,FALSE,200,13,10,331,331,165.96,,,,
132,build my own!,1,1,FALSE,200,13,10,351,351,180.72,,,,
133,build my own!,1,1,FALSE,200,13,10,358,358,182.92,,,,
134,build my own!,1,1,FALSE,200,13,10,354,354,181.685,,,,
135,build my own!,1,1,FALSE,200,13,10,334,334,167.1,,,,
136,build my own!,1,1,FALSE,200,13,10,349,349,175,,,,
137,build my own!,1,1,FALSE,200,13,10,351,351,183.865,,,,
138,build my own!,1,1,FALSE,200,13,10,345,345,176.895,,,,
139,build my own!,1,1,FALSE,200,13,10,355,355,174.185,,,,
140,build my own!,1,1,FALSE,200,13,10,347,347,176.39,,,,
141,build my own!,1,1,FALSE,200,13,10,361,361,180.695,,,,
142,build my own!,1,1,FALSE,200,13,10,350,350,177.28,,,,
143,build my own!,1,1,FALSE,200,13,10,359,359,180.405,,,,
144,build my own!,1,1,FALSE,200,13,10,352,352,179.625,,,,
145,build my own!,1,1,FALSE,200,13,10,356,356,176.34,,,,
146,build my own!,1,1,FALSE,200,13,10,353,353,184.46,,,,
147,build my own!,1,1,FALSE,200,13,10,348,348,175.7,,,,
148,build my own!,1,1,FALSE,200,13,10,346,346,178.94,,,,
149,build my own!,1,1,FALSE,200,13,10,352,352,174.715,,,,
150,build my own!,1,1,FALSE,200,13,10,350,350,169.945,,,,
151,build my own!,1,1,FALSE,200,15,10,341,341,169.695,,,,
152,build my own!,1,1,FALSE,200,15,10,337,337,169.64,,,,
153,build my own!,1,1,FALSE,200,15,10,337,337,171.63,,,,
154,build my own!,1,1,FALSE,200,15,10,361,361,184.74,,,,
155,build my own!,1,1,FALSE,200,15,10,349,349,175.755,,,,
156,build my own!,1,1,FALSE,200,15,10,356,356,181.265,,,,
157,build my own!,1,1,FALSE,200,15,10,356,356,176.68,,,,
158,build my own!,1,1,FALSE,200,15,10,338,338,174.265,,,,
159,build my own!,1,1,FALSE,200,15,10,356,356,178.995,,,,
160,build my own!,1,1,FALSE,200,15,10,352,352,177.49,,,,
161,build my own!,1,1,FALSE,200,15,10,359,359,179.06,,,,
162,build my own!,1,1,FALSE,200,15,10,354,354,175.375,,,,
163,build my own!,1,1,FALSE,200,15,10,341,341,175.485,,,,
164,build my own!,1,1,FALSE,200,15,10,361,361,183.81,,,,
165,build my own!,1,1,FALSE,200,15,10,354,354,179.06,,,,
166,build my own!,1,1,FALSE,200,15,10,343,343,174.275,,,,
167,build my own!,1,1,FALSE,200,15,10,352,352,174.05,,,,
168,build my own!,1,1,FALSE,200,15,10,341,341,169.55,,,,
169,build my own!,1,1,FALSE,200,15,10,348,348,177.71,,,,
170,build my own!,1,1,FALSE,200,15,10,344,344,173.895,,,,
171,build my own!,1,1,FALSE,200,15,10,345,345,168.7,,,,
172,build my own!,1,1,FALSE,200,15,10,357,357,176.29,,,,
173,build my own!,1,1,FALSE,200,15,10,346,346,174.045,,,,
175,build my own!,1,1,FALSE,200,15,10,367,367,187.23,,,,
174,build my own!,1,1,FALSE,200,15,10,353,353,178.075,,,,
176,build my own!,1,1,FALSE,200,15,10,351,351,175.805,,,,
177,build my own!,1,1,FALSE,200,15,10,371,371,182.41,,,,
