BehaviorSpace results (NetLogo 6.0.3),,,,,,,,,,,,,,,,,,,,,,,,
Evacuation.nlogo,,,,,,,,,,,,,,,,,,,,,,,,
door-proximity,,,,,,,,,,,,,,,,,,,,,,,,
06/09/2018 20:24:15:355 -0500,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,,,,,,,,
[run number],building-type,number-of-doors,door-proximity,show-checkpoints,number-of-people,hallway-size,number-of-rooms,[step],ticks,average-time-to-evacuate,,,Column Labels,,,,,,,,,,,
99,build my own!,2,3,FALSE,200,21,0,197,197,102.095,,,,,,,,,,,,,,
113,build my own!,2,5,FALSE,50,21,0,65,65,37.36,,,,,,,,,,,,,,
114,build my own!,2,5,FALSE,50,21,0,65,65,38.96,,,,,,,,,,,,,,
115,build my own!,2,5,FALSE,50,21,0,66,66,36.86,,,,,,,,,,,,,,
116,build my own!,2,5,FALSE,50,21,0,68,68,38.46,,,,,,,,,,,,,,
117,build my own!,2,5,FALSE,50,21,0,64,64,37.86,,,,,,,,,,,,,,
118,build my own!,2,5,FALSE,50,21,0,68,68,35.7,,,,,,,,,,,,,,
119,build my own!,2,5,FALSE,50,21,0,69,69,39.46,,,,,,,,,,,,,,
120,build my own!,2,5,FALSE,50,21,0,68,68,38.78,,,,,,,,,,,,,,
100,build my own!,2,3,FALSE,200,21,0,199,199,104.845,,,,,,,,,,,,,,
121,build my own!,2,5,FALSE,100,21,0,99,99,53.19,,,,,,,,,,,,,,
122,build my own!,2,5,FALSE,100,21,0,102,102,54.1,,,,,,,,,,,,,,
123,build my own!,2,5,FALSE,100,21,0,97,97,50.69,,,,,,,,,,,,,,
124,build my own!,2,5,FALSE,100,21,0,98,98,51.81,,,,,,,,,,,,,,
125,build my own!,2,5,FALSE,100,21,0,100,100,51.5,,,,,,,,,,,,,,
126,build my own!,2,5,FALSE,100,21,0,101,101,53.44,,,,,,,,,,,,,,
128,build my own!,2,5,FALSE,100,21,0,99,99,52.69,,,,,,,,,,,,,,
127,build my own!,2,5,FALSE,100,21,0,95,95,52.2,,,,,,,,,,,,,,
129,build my own!,2,5,FALSE,100,21,0,103,103,57.9,,,,,,,,,,,,,,
130,build my own!,2,5,FALSE,100,21,0,105,105,56.37,,,,,,,,,,,,,,
131,build my own!,2,5,FALSE,150,21,0,137,137,70.29333333,,,,,,,,,,,,,,
132,build my own!,2,5,FALSE,150,21,0,135,135,70.54,,,,,,,,,,,,,,
134,build my own!,2,5,FALSE,150,21,0,137,137,68.62,,,,,,,,,,,,,,
133,build my own!,2,5,FALSE,150,21,0,142,142,75.66666667,,,,,,,,,,,,,,
135,build my own!,2,5,FALSE,150,21,0,141,141,72.39333333,,,,,,,,,,,,,,
136,build my own!,2,5,FALSE,150,21,0,140,140,71.51333333,,,,,,,,,,,,,,
137,build my own!,2,5,FALSE,150,21,0,140,140,70.35333333,,,,,,,,,,,,,,
138,build my own!,2,5,FALSE,150,21,0,140,140,71.7,,,,,,,,,,,,,,
139,build my own!,2,5,FALSE,150,21,0,145,145,74.21333333,,,,,,,,,,,,,,
140,build my own!,2,5,FALSE,150,21,0,136,136,70.96666667,,,,,,,,,,,,,,
142,build my own!,2,5,FALSE,200,21,0,188,188,94.105,,,,,,,,,,,,,,
141,build my own!,2,5,FALSE,200,21,0,187,187,97.1,,,,,,,,,,,,,,
143,build my own!,2,5,FALSE,200,21,0,181,181,90.755,,,,,,,,,,,,,,
144,build my own!,2,5,FALSE,200,21,0,185,185,92.47,,,,,,,,,,,,,,
146,build my own!,2,5,FALSE,200,21,0,186,186,94.075,,,,,,,,,,,,,,
145,build my own!,2,5,FALSE,200,21,0,196,196,99.01,,,,,,,,,,,,,,
147,build my own!,2,5,FALSE,200,21,0,179,179,88.035,,,,,,,,,,,,,,
151,build my own!,2,7,FALSE,25,21,0,65,65,37.48,,,,,,,,,,,,,,
152,build my own!,2,7,FALSE,25,21,0,65,65,38.16,,,,,,,,,,,,,,
153,build my own!,2,7,FALSE,25,21,0,71,71,40.04,,,,,,,,,,,,,,
154,build my own!,2,7,FALSE,25,21,0,63,63,33.36,,,,,,,,,,,,,,
155,build my own!,2,7,FALSE,25,21,0,60,60,30.52,,,,,,,,,,,,,,
156,build my own!,2,7,FALSE,25,21,0,64,64,32.8,,,,,,,,,,,,,,
157,build my own!,2,7,FALSE,25,21,0,59,59,34.36,,,,,,,,,,,,,,
158,build my own!,2,7,FALSE,25,21,0,62,62,35,,,,,,,,,,,,,,
148,build my own!,2,5,FALSE,200,21,0,188,188,95.93,,,,,,,,,,,,,,
159,build my own!,2,7,FALSE,25,21,0,65,65,34.6,,,,,,,,,,,,,,
160,build my own!,2,7,FALSE,25,21,0,69,69,41.8,,,,,,,,,,,,,,
161,build my own!,2,7,FALSE,50,21,0,63,63,36.22,,,,,,,,,,,,,,
149,build my own!,2,5,FALSE,200,21,0,179,179,90.085,,,,,,,,,,,,,,
150,build my own!,2,5,FALSE,200,21,0,185,185,93.515,,,,,,,,,,,,,,
162,build my own!,2,7,FALSE,50,21,0,73,73,39.4,,,,,,,,,,,,,,
163,build my own!,2,7,FALSE,50,21,0,67,67,36.22,,,,,,,,,,,,,,
164,build my own!,2,7,FALSE,50,21,0,71,71,39.5,,,,,,,,,,,,,,
165,build my own!,2,7,FALSE,50,21,0,65,65,36.7,,,,,,,,,,,,,,
167,build my own!,2,7,FALSE,50,21,0,66,66,38.48,,,,,,,,,,,,,,
166,build my own!,2,7,FALSE,50,21,0,69,69,38.68,,,,,,,,,,,,,,
168,build my own!,2,7,FALSE,50,21,0,69,69,38.4,,,,,,,,,,,,,,
169,build my own!,2,7,FALSE,50,21,0,67,67,37.16,,,,,,,,,,,,,,
170,build my own!,2,7,FALSE,50,21,0,68,68,36.44,,,,,,,,,,,,,,
172,build my own!,2,7,FALSE,100,21,0,92,92,46.86,,,,,,,,,,,,,,
171,build my own!,2,7,FALSE,100,21,0,101,101,53.24,,,,,,,,,,,,,,
