BehaviorSpace results (NetLogo 6.0.3),,,,,,,,,,,,,,,,,,,
Evacuation.nlogo,,,,,,,,,,,,,,,,,,,
number-of-rooms,,,,,,,,,,,,,,,,,,,
06/10/2018 00:02:27:518 -0500,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,
-20,20,-20,20,,,,,,,,,,,,,,,,
[run number],building-type,number-of-doors,door-proximity,show-checkpoints,number-of-people,hallway-size,number-of-rooms,[step],ticks,average-time-to-evacuate,,Average of ticks,Column Labels,,,,,,
289,build my own!,1,19,FALSE,100,7,4,199,199,104.44,,,,,,,,,
290,build my own!,1,19,FALSE,100,7,4,198,198,104.23,,,,,,,,,
291,build my own!,1,19,FALSE,100,7,4,185,185,97.12,,,,,,,,,
292,build my own!,1,19,FALSE,100,7,4,193,193,105.08,,,,,,,,,
293,build my own!,1,19,FALSE,100,7,4,192,192,104.66,,,,,,,,,
294,build my own!,1,19,FALSE,100,7,4,189,189,102.01,,,,,,,,,
295,build my own!,1,19,FALSE,100,7,4,191,191,107.32,,,,,,,,,
297,build my own!,1,19,FALSE,100,7,4,185,185,102.9,,,,,,,,,
296,build my own!,1,19,FALSE,100,7,4,193,193,104.95,,,,,,,,,
299,build my own!,1,19,FALSE,100,7,4,197,197,106.93,,,,,,,,,
298,build my own!,1,19,FALSE,100,7,4,198,198,109.89,,,,,,,,,
300,build my own!,1,19,FALSE,100,7,4,178,178,97.78,,,,,,,,,
301,build my own!,1,19,FALSE,100,7,6,190,190,99.37,,,,,,,,,
302,build my own!,1,19,FALSE,100,7,6,185,185,94.85,,,,,,,,,
303,build my own!,1,19,FALSE,100,7,6,194,194,100.49,,,,,,,,,
304,build my own!,1,19,FALSE,100,7,6,183,183,94.71,,,,,,,,,
305,build my own!,1,19,FALSE,100,7,6,188,188,100.03,,,,,,,,,
307,build my own!,1,19,FALSE,100,7,6,181,181,93.61,,,,,,,,,
306,build my own!,1,19,FALSE,100,7,6,195,195,103.21,,,,,,,,,
308,build my own!,1,19,FALSE,100,7,6,185,185,98.69,,,,,,,,,
309,build my own!,1,19,FALSE,100,7,6,180,180,93.86,,,,,,,,,
310,build my own!,1,19,FALSE,100,7,6,180,180,93.55,,,,,,,,,
311,build my own!,1,19,FALSE,100,7,6,187,187,100.39,,,,,,,,,
312,build my own!,1,19,FALSE,100,7,6,185,185,96.65,,,,,,,,,
313,build my own!,1,19,FALSE,100,7,6,191,191,101.63,,,,,,,,,
314,build my own!,1,19,FALSE,100,7,6,181,181,93.24,,,,,,,,,
315,build my own!,1,19,FALSE,100,7,6,191,191,98.47,,,,,,,,,
316,build my own!,1,19,FALSE,100,7,6,179,179,96.19,,,,,,,,,
317,build my own!,1,19,FALSE,100,7,6,176,176,92.41,,,,,,,,,
318,build my own!,1,19,FALSE,100,7,6,183,183,95.3,,,,,,,,,
319,build my own!,1,19,FALSE,100,7,6,190,190,102.8,,,,,,,,,
320,build my own!,1,19,FALSE,100,7,6,186,186,97.2,,,,,,,,,
321,build my own!,1,19,FALSE,100,7,6,178,178,95.23,,,,,,,,,
322,build my own!,1,19,FALSE,100,7,6,190,190,98.08,,,,,,,,,
323,build my own!,1,19,FALSE,100,7,6,187,187,100.43,,,,,,,,,
324,build my own!,1,19,FALSE,100,7,6,191,191,105.11,,,,,,,,,
325,build my own!,1,19,FALSE,100,7,6,180,180,95.3,,,,,,,,,
